"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2022","36,154","36,567","36,592","36,105","0.05K","-1.13%"
"12/01/2022","36,569","35,839","37,310","35,839","0.70K","6.35%"
"11/30/2022","34,384","36,200","36,200","33,654","0.50K","-0.54%"
"11/29/2022","34,572","36,200","36,200","34,397","4.18K","-1.77%"
"11/28/2022","35,196","36,200","36,200","34,417","0.78K","-0.51%"
"11/25/2022","35,376","35,534","35,640","35,534","1.04K","0.36%"
"11/24/2022","35,248","35,375","35,429","34,923","1.05K","0.28%"
"11/23/2022","35,151","36,200","36,200","35,484","2.22K","-0.10%"
"11/22/2022","35,185","35,056","35,060","34,112","0.12K","-0.06%"
"11/21/2022","35,206","36,200","36,200","34,408","1.50K","-0.02%"
"11/18/2022","35,212","36,200","36,200","35,362","0.04K","0.25%"
"11/17/2022","35,123","35,084","35,250","35,084","0.26K","-0.16%"
"11/16/2022","35,181","35,906","35,906","35,223","0.02K","-1.04%"
"11/15/2022","35,550","35,699","35,699","34,999","1.27K","0.67%"
"11/14/2022","35,315","33,500","35,463","33,500","1.50K","0.36%"
"11/11/2022","35,187","34,782","35,418","34,782","0.14K","1.16%"
"11/10/2022","34,782","33,885","34,476","33,610","0.36K","0.22%"
"11/09/2022","34,705","34,870","34,913","34,570","0.03K","0.76%"
"11/08/2022","34,443","35,000","35,000","33,885","0.25K","0.45%"
"11/07/2022","34,290","36,621","36,621","34,500","0.30K","-1.77%"
"11/04/2022","34,909","34,900","35,249","34,500","0.15K","-0.69%"
"11/03/2022","35,150","36,700","36,700","35,250","0.36K","-1.93%"
"11/02/2022","35,842","36,106","36,106","35,740","0.61K","-0.66%"
"11/01/2022","36,080","36,555","37,988","36,351","0.51K","-0.99%"
"10/31/2022","36,442","37,100","37,500","35,740","0.61K","1.48%"
"10/28/2022","35,911","35,150","35,447","34,804","0.78K","1.75%"
"10/27/2022","35,294","35,513","35,513","35,513","0.01K","-1.03%"
"10/26/2022","35,660","37,100","37,100","35,229","0.14K","-0.50%"
"10/25/2022","35,839","37,100","37,100","35,961","0.11K","0.84%"
"10/24/2022","35,542","33,885","35,782","33,885","0.12K","3.09%"
"10/21/2022","34,476","34,197","34,492","34,197","0.14K","-0.86%"
"10/20/2022","34,774","34,779","34,814","34,492","0.09K","0.10%"
"10/19/2022","34,740","34,934","34,965","34,504","0.13K","0.12%"
"10/18/2022","34,699","34,318","35,000","34,318","0.05K","2.15%"
"10/17/2022","33,968","33,983","34,056","33,573","0.44K","0.48%"
"10/14/2022","33,806","34,900","34,900","34,185","1.05K","1.13%"
"10/13/2022","33,427","33,400","33,905","33,333","0.02K","-0.76%"
"10/12/2022","33,683","33,809","33,895","33,470","0.04K","-0.79%"
"10/11/2022","33,950","33,580","34,900","33,123","0.19K","1.10%"
"10/10/2022","33,580","33,906","34,013","33,564","0.36K","-1.55%"
"10/07/2022","34,108","34,534","34,534","34,218","1.00K","-1.40%"
"10/06/2022","34,593","34,795","34,795","34,671","0.01K","1.43%"
"10/05/2022","34,106","35,000","35,000","34,291","1.31K","-0.30%"
"10/04/2022","34,209","33,962","34,436","33,782","0.54K","2.23%"
"10/03/2022","33,464","33,286","33,543","32,942","0.46K","-0.46%"
"09/30/2022","33,620","33,391","33,850","33,391","0.32K","0.06%"
"09/29/2022","33,601","34,156","34,156","33,693","0.17K","-0.64%"
"09/28/2022","33,818","34,005","34,005","33,432","1.36K","-0.39%"
"09/27/2022","33,952","34,136","34,199","33,782","0.15K","-0.67%"
"09/26/2022","34,182","33,636","34,315","33,636","0.13K","0.47%"
"09/23/2022","34,021","34,087","34,178","33,729","0.83K","0.20%"
"09/22/2022","33,952","34,616","34,616","34,606","0.06K","-3.37%"
"09/21/2022","35,137","35,208","35,300","34,813","0.21K","0.03%"
"09/20/2022","35,127","34,634","35,626","34,634","0.15K","1.42%"
"09/19/2022","34,634","35,314","35,314","33,216","0.09K","-0.39%"
"09/16/2022","34,768","34,843","34,843","34,831","0.21K","-1.19%"
"09/15/2022","35,188","35,587","35,615","35,215","0.99K","-0.23%"
